,Track,Artist,Region,Country,Sub_Region,Track_n_Region,days_on_chart,first_appeared_date
940856,Yellow,Coldplay,hk,Hong Kong,Eastern Asia,Yellow hk,1,4/11/2017
940859,Dangerous,The xx,hk,Hong Kong,Eastern Asia,Dangerous hk,1,1/12/2017
940863,回到過去,周杰倫,hk,Hong Kong,Eastern Asia,回到過去 hk,1,1/16/2017
940883,Iridescent,Linkin Park,hk,Hong Kong,Eastern Asia,Iridescent hk,2,7/20/2017
940891,有約,Twins,hk,Hong Kong,Eastern Asia,有約 hk,1,4/6/2017
940905,Outro : Wings,BTS,hk,Hong Kong,Eastern Asia,Outro : Wings hk,1,2/12/2017
940916,人渣,麥浚龍,hk,Hong Kong,Eastern Asia,人渣 hk,1,2/23/2017
940922,刺青,衛詩,hk,Hong Kong,Eastern Asia,刺青 hk,1,4/13/2017
940934,蜚蜚,陳僖儀,hk,Hong Kong,Eastern Asia,蜚蜚 hk,1,1/15/2017
940945,Only Love,Ben Howard,hk,Hong Kong,Eastern Asia,Only Love hk,1,2/13/2017
940947,I Love You,Axwell /\ Ingrosso,hk,Hong Kong,Eastern Asia,I Love You hk,1,2/17/2017
940952,沉默是金 (合唱),許冠傑,hk,Hong Kong,Eastern Asia,沉默是金 (合唱) hk,1,3/31/2017
940959,Belle (Reprise),Emma Watson,hk,Hong Kong,Eastern Asia,Belle (Reprise) hk,1,3/25/2017
940962,Wherever You Will Go,The Calling,hk,Hong Kong,Eastern Asia,Wherever You Will Go hk,1,2/13/2017
940963,Hard Times,Paramore,hk,Hong Kong,Eastern Asia,Hard Times hk,1,4/20/2017
940965,從不信自己,鍾舒漫,hk,Hong Kong,Eastern Asia,從不信自己 hk,1,1/23/2017
940973,哪裡都是你,周杰倫,hk,Hong Kong,Eastern Asia,哪裡都是你 hk,1,1/16/2017
940975,Juke Jam (feat. Justin Bieber & Towkio),Chance The Rapper,hk,Hong Kong,Eastern Asia,Juke Jam (feat. Justin Bieber & Towkio) hk,1,2/12/2017
